Isolate,Accession_number,Collection_time,Country,Continent,Genotype,Source
ERR2102162|2015|France|Europe,ERR2102162,2015,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102163|2015|France|Europe,ERR2102163,2015,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR5101983|1996|France|Europe,ERR5101983,1996,France,Europe,Others,NCBI
ERR5101984|1999|France|Europe,ERR5101984,1999,France,Europe,Others,NCBI
ERR5101985|2005|France|Europe,ERR5101988,2005,France,Europe,ptxP3/fim3-2,Bouchez et al. 2021
ERR5101986|2007|France|Europe,ERR5101986,2007,France,Europe,Others,Bouchez et. al. (2009)
ERR5101987|2018|France|Europe,ERR5101987,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101988|1997|France|Europe,ERR5101985,1997,France,Europe,ptxP1/fim3-1,Bouchez et al. 2021
ERR5101989|1998|France|Europe,ERR5101989,1998,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5101990|2009|France|Europe,ERR5101990,2009,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101991|2013|France|Europe,ERR5101991,2013,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101992|2013|France|Europe,ERR5101992,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5101993|2004|France|Europe,ERR5101993,2004,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5101994|2004|France|Europe,ERR5101994,2004,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101995|2005|France|Europe,ERR5101995,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101996|2005|France|Europe,ERR5101996,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101997|2005|France|Europe,ERR5101997,2005,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101998|2006|France|Europe,ERR5101998,2006,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5101999|2007|France|Europe,ERR5101999,2007,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2009)
ERR5102000|2007|France|Europe,ERR5102000,2007,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102001|2007|France|Europe,ERR5102001,2007,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102002|2007|France|Europe,ERR5102002,2007,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102003|2008|France|Europe,ERR5102003,2008,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102004|2009|France|Europe,ERR5102004,2009,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102005|2009|France|Europe,ERR5102005,2009,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102006|2009|France|Europe,ERR5102006,2009,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102007|2009|France|Europe,ERR5102007,2009,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102008|2009|France|Europe,ERR5102008,2009,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102009|2009|France|Europe,ERR5102009,2009,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102010|2009|France|Europe,ERR5102010,2009,France,Europe,ptxP3/fim3-2,NCBI
ERR5102011|2010|France|Europe,ERR5102011,2010,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102012|2010|France|Europe,ERR5102012,2010,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102013|2010|France|Europe,ERR5102013,2010,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102014|2010|France|Europe,ERR5102014,2010,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102015|2010|France|Europe,ERR5102015,2010,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102016|2011|France|Europe,ERR5102016,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102017|2011|France|Europe,ERR5102017,2011,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102018|2011|France|Europe,ERR5102018,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102019|2011|France|Europe,ERR5102019,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102020|2011|France|Europe,ERR5102020,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102021|2011|France|Europe,ERR5102021,2011,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102022|2011|France|Europe,ERR5102022,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102023|2011|France|Europe,ERR5102023,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102024|2011|France|Europe,ERR5102024,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102025|2011|France|Europe,ERR5102025,2011,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102026|2011|France|Europe,ERR5102026,2011,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102027|2011|France|Europe,ERR5102027,2011,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102028|2011|France|Europe,ERR5102028,2011,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102029|2011|France|Europe,ERR5102029,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102030|2011|France|Europe,ERR5102030,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102031|2011|France|Europe,ERR5102031,2011,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102032|2012|France|Europe,ERR5102032,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102033|2012|France|Europe,ERR5102033,2012,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102034|2012|France|Europe,ERR5102034,2012,France,Europe,ptxP1/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102035|2012|France|Europe,ERR5102035,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102036|2012|France|Europe,ERR5102036,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102037|2012|France|Europe,ERR5102037,2012,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102038|2012|France|Europe,ERR5102038,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102039|2012|France|Europe,ERR5102039,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102040|2012|France|Europe,ERR5102040,2012,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102041|2012|France|Europe,ERR5102041,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102042|2012|France|Europe,ERR5102042,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102043|2012|France|Europe,ERR5102043,2012,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102044|2012|France|Europe,ERR5102044,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102045|2012|France|Europe,ERR5102045,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102046|2012|France|Europe,ERR5102046,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102047|2012|France|Europe,ERR5102047,2012,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102048|2012|France|Europe,ERR5102048,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102049|2012|France|Europe,ERR5102049,2012,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102050|2012|France|Europe,ERR5102050,2012,France,Europe,ptxP3/fim3-1,Hegerle et. al. (2014)
ERR5102051|2012|France|Europe,ERR5102051,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102052|2012|France|Europe,ERR5102052,2012,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102053|2013|France|Europe,ERR5102053,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102054|2013|France|Europe,ERR5102054,2013,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102055|2013|France|Europe,ERR5102055,2013,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102056|2013|France|Europe,ERR5102056,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102057|2013|France|Europe,ERR5102057,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102058|2013|France|Europe,ERR5102058,2013,France,Europe,ptxP3/fim3-2,NCBI
ERR5102059|2013|France|Europe,ERR5102059,2013,France,Europe,ptxP3/fim3-1,NCBI
ERR5102060|2013|France|Europe,ERR5102060,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102061|2013|France|Europe,ERR5102061,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102062|2013|France|Europe,ERR5102062,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102063|2013|France|Europe,ERR5102063,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102064|2013|France|Europe,ERR5102064,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102065|2013|France|Europe,ERR5102065,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102066|2013|France|Europe,ERR5102066,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102067|2013|France|Europe,ERR5102067,2013,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102068|2013|France|Europe,ERR5102068,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102069|2013|France|Europe,ERR5102069,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102070|2013|France|Europe,ERR5102070,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102071|2013|France|Europe,ERR5102071,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102072|2013|France|Europe,ERR5102072,2013,France,Europe,ptxP3/fim3-2,NCBI
ERR5102073|2013|France|Europe,ERR5102073,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102074|2013|France|Europe,ERR5102074,2013,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102075|2014|France|Europe,ERR5102075,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102076|2014|France|Europe,ERR5102076,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102077|2014|France|Europe,ERR5102077,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102078|2014|France|Europe,ERR5102078,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102079|2014|France|Europe,ERR5102079,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102080|2014|France|Europe,ERR5102080,2014,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102081|2014|France|Europe,ERR5102081,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102082|2014|France|Europe,ERR5102082,2014,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102083|2015|France|Europe,ERR5102083,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102084|2015|France|Europe,ERR5102084,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102085|2015|France|Europe,ERR5102085,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102086|2015|France|Europe,ERR5102086,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102087|2015|France|Europe,ERR5102087,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102088|2015|France|Europe,ERR5102088,2015,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102089|2015|France|Europe,ERR5102089,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102090|2015|France|Europe,ERR5102090,2015,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102091|2015|France|Europe,ERR5102091,2015,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102092|2016|France|Europe,ERR5102092,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102093|2016|France|Europe,ERR5102093,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102094|2016|France|Europe,ERR5102094,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102095|2016|France|Europe,ERR5102095,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102096|2016|France|Europe,ERR5102096,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102097|2016|France|Europe,ERR5102097,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102098|2016|France|Europe,ERR5102098,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102099|2016|France|Europe,ERR5102099,2016,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102100|2016|France|Europe,ERR5102100,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102101|2016|France|Europe,ERR5102101,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102102|2016|France|Europe,ERR5102102,2016,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102103|2016|France|Europe,ERR5102103,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102104|2016|France|Europe,ERR5102104,2016,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102105|2016|France|Europe,ERR5102105,2016,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102106|2016|France|Europe,ERR5102106,2016,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102107|2016|France|Europe,ERR5102107,2016,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102108|2017|France|Europe,ERR5102108,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102109|2017|France|Europe,ERR5102109,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102110|2017|France|Europe,ERR5102110,2017,France,Europe,Others,Lefrancq & Bouchez et al. 2022
ERR5102111|2017|France|Europe,ERR5102111,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102112|2017|France|Europe,ERR5102112,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102113|2017|France|Europe,ERR5102113,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102114|2017|France|Europe,ERR5102114,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102115|2017|France|Europe,ERR5102115,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102116|2017|France|Europe,ERR5102116,2017,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102117|2017|France|Europe,ERR5102117,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102118|2017|France|Europe,ERR5102118,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102119|2017|France|Europe,ERR5102119,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102120|2017|France|Europe,ERR5102120,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102121|2017|France|Europe,ERR5102121,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102122|2017|France|Europe,ERR5102122,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102123|2017|France|Europe,ERR5102123,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102124|2017|France|Europe,ERR5102124,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102125|2017|France|Europe,ERR5102125,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102126|2017|France|Europe,ERR5102126,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102127|2017|France|Europe,ERR5102127,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102128|2017|France|Europe,ERR5102128,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102129|2017|France|Europe,ERR5102129,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102130|2017|France|Europe,ERR5102130,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102131|2017|France|Europe,ERR5102131,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102132|2017|France|Europe,ERR5102132,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102133|2017|France|Europe,ERR5102133,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102134|2017|France|Europe,ERR5102134,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102135|2017|France|Europe,ERR5102135,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102136|2017|France|Europe,ERR5102136,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102137|2017|France|Europe,ERR5102137,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102138|2017|France|Europe,ERR5102138,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102139|2017|France|Europe,ERR5102139,2017,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102140|2017|France|Europe,ERR5102140,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102141|2017|France|Europe,ERR5102141,2017,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102142|2018|France|Europe,ERR5102142,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102143|2018|France|Europe,ERR5102143,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102144|2018|France|Europe,ERR5102144,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102145|2018|France|Europe,ERR5102145,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
ERR5102146|2018|France|Europe,ERR5102146,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102147|2018|France|Europe,ERR5102147,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102148|2018|France|Europe,ERR5102148,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102149|2018|France|Europe,ERR5102149,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102150|2018|France|Europe,ERR5102150,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102151|2018|France|Europe,ERR5102151,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102152|2018|France|Europe,ERR5102152,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102153|2018|France|Europe,ERR5102153,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102154|2018|France|Europe,ERR5102154,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102155|2018|France|Europe,ERR5102155,2018,France,Europe,ptxP3/fim3-1,Lefrancq & Bouchez et al. 2022
ERR5102156|2018|France|Europe,ERR5102156,2018,France,Europe,ptxP3/fim3-2,Lefrancq & Bouchez et al. 2022
